frag_id,Species,Treatment,Trial,weight_g_weekly,surface_area_cm3_weekly,rgb_weekly
Pcli 1.4,Pcli,Control,Control,-0.05666666666666664,0.20249999999999999,-1.3065555555555548
Pcli 2.1,Pcli,PBR,PBR 1,-0.06533333333333324,0.13433333333333333,-1.771944444444441
Pcli 2.2,Pcli,PBR,PBR 1,-0.09733333333333327,0.33949999999999986,-3.575740740740739
Pcli 2.3,Pcli,PBR,PBR 1,-0.0698333333333337,-0.10149999999999999,-2.4637407407407395
Pcli 2.4,Pcli,Control,Control,-0.06216666666666685,0.345,-0.37172222222222234
Pcli 3.1,Pcli,PBR,PBR 1,-0.06099999999999994,0.060166666666666625,-3.2608148148148146
Pcli 3.2,Pcli,PBR,PBR 1,-0.05200000000000019,0.08666666666666667,-3.0818148148148103
Pcli 3.3,Pcli,PBR,PBR 1,-0.08249999999999987,0.11800000000000004,-2.9651851851851845
Pcli 3.4,Pcli,Control,Control,-0.059499999999999886,0.21600000000000005,-1.7589074074074063
Mcav 4.1,Mcav,PBC,PBC 1,-0.017366666666666752,0.08566666666666663,1.7174074074074117
Mcav 4.2,Mcav,PBC,PBC 1,0.0014166666666666217,0.23416666666666672,0.2578148148148145
Mcav 4.3,Mcav,PBC,PBC 1,0.002466666666666691,0.05399999999999997,2.517388888888893
Mcav 4.4,Mcav,Control,Control,0.005249999999999903,-0.052833333333333364,-3.841129629629627
Mcav 5.1,Mcav,PBC,PBC 1,0.011116666666666516,0.19833333333333333,0.010925925925924673
Mcav 5.2,Mcav,PBC,PBC 1,0.02053333333333344,0.123,-0.6370185185185164
Mcav 5.3,Mcav,PBC,PBC 1,0.03233333333333318,0.15666666666666665,0.6204074074074057
Mcav 5.4,Mcav,Control,Control,0.012250000000000169,-0.05033333333333334,4.794648148148149
Mcav 6.1,Mcav,PBC,PBC 1,-0.009216666666666503,-0.05883333333333329,-1.5863703703703702
Mcav 6.2,Mcav,PBC,PBC 1,0.006583333333333237,-0.09200000000000001,1.4922407407407452
Mcav 6.3,Mcav,PBC,PBC 1,-0.00973333333333315,0.03833333333333333,-1.0320740740740746
Mcav 6.4,Mcav,Control,Control,0.006466666666666694,0.0015000000000000568,1.1637222222222217
Ofav 4.1,Ofav,PBC,PBC 1,0.03509999999999991,0.18333333333333326,-1.8495370370370356
Ofav 4.2,Ofav,PBC,PBC 1,0.028999999999999915,0.05399999999999997,2.064462962962961
Ofav 4.3,Ofav,PBC,PBC 1,0.015649999999999942,-0.1601666666666667,-2.829407407407409
Ofav 4.4,Ofav,Control,Control,0.02488333333333337,0.09716666666666669,0.33246296296295696
Ofav 5.1,Ofav,PBC,PBC 1,0.028749999999999904,0.10016666666666667,0.8954999999999984
Ofav 5.2,Ofav,PBC,PBC 1,0.02344999999999982,-0.09949999999999992,0.033259259259258066
Ofav 5.3,Ofav,PBC,PBC 1,0.006966666666666714,-0.14083333333333337,0.5774814814814823
Ofav 5.4,Ofav,Control,Control,0.02036666666666657,0.008833333333333396,-1.754981481481482
Ofav 6.1,Ofav,PBC,PBC 1,0.03525000000000015,-0.11750000000000001,-0.2726296296296316
Ofav 6.2,Ofav,PBC,PBC 1,0.028683333333333394,-0.09583333333333321,-2.9382407407407407
Ofav 6.3,Ofav,PBC,PBC 1,0.03653333333333345,0.07066666666666672,0.8150925925925966
Ofav 6.4,Ofav,Control,Control,0.018416666666666675,0.03766666666666666,1.9045925925925928
Pcli 4.1,Pcli,PBC,PBC 1,0.034733333333333206,0.3345000000000001,-5.544870370370371
Pcli 4.2,Pcli,PBC,PBC 1,0.024566666666666848,0.15933333333333324,-3.3600555555555567
Pcli 4.3,Pcli,PBC,PBC 1,0.02328333333333325,0.4569999999999999,-1.7527777777777753
Pcli 4.4,Pcli,Control,Control,-0.0019333333333332685,0.06433333333333335,3.6552018518518565
Pcli 5.1,Pcli,PBC,PBC 1,0.014050000000000118,0.17450000000000002,-5.675092592592591
Pcli 5.2,Pcli,PBC,PBC 1,0.031345000000000255,0.10316666666666663,-5.8941851851851865
Pcli 5.3,Pcli,PBC,PBC 1,-0.020099999999999934,-0.06516666666666666,-4.928203703703706
Pcli 5.4,Pcli,Control,Control,0.003266666666666751,-0.047999999999999966,-7.665925925925921
Pcli 6.1,Pcli,PBC,PBC 1,-0.0039000000000000887,0.04149999999999995,-4.403129629629629
Pcli 6.2,Pcli,PBC,PBC 1,0.00334999999999989,0.22633333333333328,-4.431055555555557
Pcli 6.3,Pcli,PBC,PBC 1,0.004499999999999875,0.057166666666666664,-1.2869259259259256
Pcli 6.4,Pcli,Control,Control,0.013683333333333417,0.18883333333333333,-0.19903703703703948
Mcav 4.1,Mcav,PBC,PBC 2,-0.022549999999999848,0.0686666666666667,-1.6876481481481467
Mcav 4.2,Mcav,PBC,PBC 2,0.0049666666666666375,0.09983333333333333,-3.529648148148148
